step,memory_mb,time_ms,seq_len,flops_saved,total_flops_saved,tokens_processed
1,0.01171875,21.270751953125,1,0,0,1
2,0.0234375,1.6350746154785156,2,2096,2096,2
3,0.03515625,1.039743423461914,3,6288,8384,3
4,0.046875,1.1839866638183594,4,12576,20960,4
5,0.05859375,1.0862350463867188,5,20960,41920,5
6,0.0703125,1.0411739349365234,6,31440,73360,6
7,0.08203125,0.9820461273193359,7,44016,117376,7
8,0.09375,1.2311935424804688,8,58688,176064,8
9,0.10546875,1.3120174407958984,9,75456,251520,9
10,0.1171875,1.1358261108398438,10,94320,345840,10
11,0.12890625,1.0099411010742188,11,115280,461120,11
12,0.140625,1.007080078125,12,138336,599456,12
13,0.15234375,1.0538101196289062,13,163488,762944,13
14,0.1640625,1.129150390625,14,190736,953680,14
15,0.17578125,1.1968612670898438,15,220080,1173760,15
16,0.1875,1.1188983917236328,16,251520,1425280,16
17,0.19921875,1.1150836944580078,17,285056,1710336,17
18,0.2109375,1.2969970703125,18,320688,2031024,18
19,0.22265625,1.1749267578125,19,358416,2389440,19
20,0.234375,1.1038780212402344,20,398240,2787680,20
21,0.24609375,1.5501976013183594,21,440160,3227840,21
22,0.2578125,1.3051033020019531,22,484176,3712016,22
23,0.26953125,1.3778209686279297,23,530288,4242304,23
24,0.28125,1.177072525024414,24,578496,4820800,24
25,0.29296875,1.1310577392578125,25,628800,5449600,25
26,0.3046875,1.107931137084961,26,681200,6130800,26
27,0.31640625,1.1110305786132812,27,735696,6866496,27
28,0.328125,1.1129379272460938,28,792288,7658784,28
29,0.33984375,1.1157989501953125,29,850976,8509760,29
30,0.3515625,1.1267662048339844,30,911760,9421520,30
31,0.36328125,1.27410888671875,31,974640,10396160,31
32,0.375,1.1577606201171875,32,1039616,11435776,32
33,0.38671875,1.0907649993896484,33,1106688,12542464,33
34,0.3984375,1.0747909545898438,34,1175856,13718320,34
35,0.41015625,1.0020732879638672,35,1247120,14965440,35
36,0.421875,1.0700225830078125,36,1320480,16285920,36
37,0.43359375,1.1410713195800781,37,1395936,17681856,37
38,0.4453125,1.0912418365478516,38,1473488,19155344,38
39,0.45703125,1.0821819305419922,39,1553136,20708480,39
40,0.46875,1.0938644409179688,40,1634880,22343360,40
41,0.48046875,1.1022090911865234,41,1718720,24062080,41
42,0.4921875,1.062154769897461,42,1804656,25866736,42
43,0.50390625,1.0919570922851562,43,1892688,27759424,43
44,0.515625,1.0569095611572266,44,1982816,29742240,44
45,0.52734375,1.0929107666015625,45,2075040,31817280,45
46,0.5390625,1.2857913970947266,46,2169360,33986640,46
47,0.55078125,1.1348724365234375,47,2265776,36252416,47
48,0.5625,1.1053085327148438,48,2364288,38616704,48
49,0.57421875,1.1067390441894531,49,2464896,41081600,49
50,0.5859375,1.0669231414794922,50,2567600,43649200,50
